dataset,n_features,cond_number,max_vif,n_vif_gt10,median_vif
BC,30,315.95580145137103,3806.115296390909,23,25.41612822357289
PIMA,8,2.4420560101384425,1.616141694203654,0,1.395889853395575
HEART,18,5.649682865819292,4.402424568728319,0,1.4751908674565997
D130,38,3.929733415943239,2.715680227524898,0,1.2669392857702855
