,AUC,AUC,AUC,MCC,MCC,MCC,BRIER,BRIER,BRIER
strategy,drop,iterative,median,drop,iterative,median,drop,iterative,median
model,,,,,,,,,
LR,0.8389304843304843,0.8370005698005698,0.8361595441595442,0.4968529550839555,0.49286768526555924,0.4878729873767934,0.15609203661564278,0.15676675235779713,0.1572555652407035
MLP,0.7713076923076924,0.7640102564102564,0.7652096866096866,0.37978591870645184,0.38812768291654903,0.3924238399554085,0.2452886975066277,0.24711217212025932,0.24672185739231112
NB,0.8273977207977208,0.8236529914529914,0.8151897435897436,0.4593283737941693,0.4466945845239526,0.4348953173003657,0.17187465261076249,0.18377279441435446,0.18545871662771365
RF,0.8297356125356126,0.8291145299145299,0.8263319088319088,0.4978240603237507,0.4983155017949986,0.49075876490496084,0.15886034210526312,0.16005428161312366,0.16001344976076554
SVM,0.8302623931623931,0.8283894586894587,0.829716809116809,0.46897179659853505,0.4715049443693691,0.47058318999762233,0.16095117113749707,0.16255223110147465,0.16262108751773063
XGB,0.8004552706552707,0.7991555555555556,0.8041441595441596,0.438911816801888,0.4217423657070091,0.43830524795457526,0.19772519782185552,0.20324839591979976,0.1964269462227821
