dataset,model,axis,level,n_units,tau_mean,tau_sd,tau_min,wtau_mean,wtau_sd,wtau_min,rbo_mean,rbo_sd,rbo_min,j5_mean,j5_sd,j5_min
BC,LR,seed,feature,30,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
BC,LR,seed,group,16,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
BC,LR,boot,feature,30,0.5010173074382349,0.0988569531469836,0.1862068965517241,0.5910567766030658,0.1232687058753104,0.1756960552920708,0.6012312777110601,0.1085564298729882,0.3479386301201843,0.3649607735814632,0.1834296557167118,0.0
BC,LR,boot,group,16,0.6066283524904215,0.1059670004532895,0.2333333333333333,0.7729408398046124,0.0772895201245829,0.4826824769411836,0.8677757968503262,0.0606748648274074,0.6840667090209609,0.731143951833607,0.1517163829363237,0.4285714285714285
BC,RF,seed,feature,30,0.8378861144140575,0.0309019903143694,0.7517241379310345,0.865564715811523,0.0369640635953037,0.7685335745871535,0.789573049172326,0.0660968218361671,0.667879410491986,1.0,0.0,1.0
BC,RF,seed,group,16,0.7880459770114943,0.0660116665745324,0.6,0.908921425666278,0.0282744589461365,0.8216833657629466,0.9625936260972956,0.0120643895097539,0.9216750082331484,0.977777777777778,0.0832436793715691,0.6666666666666666
BC,RF,boot,feature,30,0.8067380103051922,0.0367421810223381,0.7011494252873564,0.8832481053838992,0.0270017652852466,0.7961362368462821,0.8561170902285232,0.0571337955886909,0.700196348761384,0.8325123152709358,0.1777722691062433,0.4285714285714285
BC,RF,boot,group,16,0.7399233716475095,0.0721088544833697,0.5166666666666667,0.8755251536587306,0.0348808188593504,0.7632096466095559,0.939761736106749,0.0269631110850269,0.829988549489156,0.8398467432950191,0.1667310997156358,0.6666666666666666
BC,XGB,seed,feature,30,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
BC,XGB,seed,group,16,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
BC,XGB,boot,feature,30,0.5102823394335927,0.0903862236350936,0.253164724585094,0.646015172307138,0.107310448227146,0.2225116000151086,0.6523637912299379,0.0857012279417224,0.4254015352237836,0.5119594964422551,0.1813639370210998,0.25
BC,XGB,boot,group,16,0.6053692905950221,0.1175496852487407,0.2426799485391596,0.768086962744891,0.0700478565199864,0.509820681874127,0.8551363265263247,0.0571200894842378,0.6888520975435874,0.6960043787629995,0.1568870873926484,0.4285714285714285
PIMA,LR,seed,feature,8,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
PIMA,LR,seed,group,8,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
PIMA,LR,boot,feature,8,0.6926108374384237,0.140531800028228,0.2857142857142857,0.8212371443963268,0.0860983195679227,0.5755584756898817,0.9428132805911332,0.027877527519566,0.8562559857142857,0.6973180076628354,0.1704371478221107,0.4285714285714285
PIMA,LR,boot,group,8,0.6926108374384237,0.140531800028228,0.2857142857142857,0.8212371443963268,0.0860983195679227,0.5755584756898817,0.9428132805911332,0.027877527519566,0.8562559857142857,0.6973180076628354,0.1704371478221107,0.4285714285714285
PIMA,RF,seed,feature,8,0.9426929392446634,0.0481235523927795,0.8571428571428571,0.9549775703475462,0.0440620322443317,0.873850197109067,0.9803118896551726,0.0213950200568271,0.941878,0.828352490421456,0.1667840397484197,0.6666666666666666
PIMA,RF,seed,group,8,0.9426929392446634,0.0481235523927795,0.8571428571428571,0.9549775703475462,0.0440620322443317,0.873850197109067,0.9803118896551726,0.0213950200568271,0.941878,0.828352490421456,0.1667840397484197,0.6666666666666666
PIMA,RF,boot,feature,8,0.7944170771756979,0.1139510472244249,0.4285714285714285,0.8652954981741966,0.0739515305634233,0.6509605156122895,0.9495593711330048,0.0279423627167004,0.8832559857142857,0.8135741652983033,0.1895116691278673,0.4285714285714285
PIMA,RF,boot,group,8,0.7944170771756979,0.1139510472244249,0.4285714285714285,0.8652954981741966,0.0739515305634233,0.6509605156122895,0.9495593711330048,0.0279423627167004,0.8832559857142857,0.8135741652983033,0.1895116691278673,0.4285714285714285
