dataset,model,fold,config,n_train,n_test,best_params,ACC,BAL,F1,AUC,MCC,BRIER
HEART,RF,6,default,273,30,,0.9333333333333333,0.9330357142857143,0.9285714285714286,0.9441964285714286,0.8660714285714286,0.11428666666666665
HEART,RF,6,tuned,273,30,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 100}",0.9,0.9017857142857143,0.896551724137931,0.9732142857142857,0.8017837257372731,0.10265793483694564
HEART,RF,7,default,273,30,,0.8666666666666667,0.8705357142857143,0.8666666666666667,0.9598214285714286,0.7410714285714286,0.08424999999999998
HEART,RF,7,tuned,273,30,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}",0.8666666666666667,0.8705357142857143,0.8666666666666667,0.9642857142857143,0.7410714285714286,0.09039942687147903
HEART,RF,8,default,273,30,,0.7333333333333333,0.7366071428571428,0.7333333333333333,0.8214285714285714,0.4732142857142857,0.17384666666666668
HEART,RF,8,tuned,273,30,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.7333333333333333,0.7366071428571428,0.7333333333333333,0.8258928571428572,0.4732142857142857,0.17260259259259256
HEART,RF,9,default,273,30,,0.8333333333333334,0.8303571428571428,0.8148148148148148,0.8571428571428571,0.6651836553993731,0.14242666666666667
HEART,RF,9,tuned,273,30,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}",0.8333333333333334,0.8303571428571428,0.8148148148148148,0.8705357142857143,0.6651836553993731,0.13629132176396921
HEART,XGB,0,default,272,31,,0.8709677419354839,0.8634453781512605,0.8461538461538461,0.9159663865546219,0.7426602870298766,0.10508476197719574
HEART,XGB,0,tuned,272,31,"{'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 300}",0.8709677419354839,0.8634453781512605,0.8461538461538461,0.9747899159663865,0.7426602870298766,0.07348793745040894
HEART,XGB,1,default,272,31,,0.7741935483870968,0.7878151260504203,0.7878787878787878,0.8907563025210083,0.5881182619831972,0.17250849306583405
HEART,XGB,1,tuned,272,31,"{'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 100}",0.8064516129032258,0.8172268907563025,0.8125,0.9201680672268907,0.6398534855276595,0.12222632020711899
HEART,XGB,2,default,272,31,,0.7741935483870968,0.76890756302521,0.7407407407407407,0.7731092436974789,0.5423923585929828,0.20232565701007843
HEART,XGB,2,tuned,272,31,"{'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 300}",0.8064516129032258,0.8046218487394958,0.7857142857142857,0.7983193277310924,0.6092436974789915,0.18547311425209045
HEART,XGB,3,default,273,30,,0.7666666666666667,0.748868778280543,0.6956521739130435,0.8778280542986425,0.5232166435699436,0.16530007123947144
HEART,XGB,3,tuned,273,30,"{'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 100}",0.8,0.7873303167420814,0.75,0.8642533936651584,0.5909278263416963,0.15099240839481354
HEART,XGB,4,default,273,30,,0.8666666666666667,0.8660714285714286,0.8571428571428571,0.9241071428571428,0.7321428571428571,0.1149664893746376
HEART,XGB,4,tuned,273,30,"{'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 100}",0.8333333333333334,0.8303571428571428,0.8148148148148148,0.9084821428571428,0.6651836553993731,0.1228916347026825
HEART,XGB,5,default,273,30,,0.8666666666666667,0.8571428571428572,0.8333333333333334,0.8883928571428571,0.7559289460184545,0.13218793272972107
HEART,XGB,5,tuned,273,30,"{'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 100}",0.8333333333333334,0.8214285714285714,0.782608695652174,0.9196428571428571,0.6998542122237652,0.12225168198347092
HEART,XGB,6,default,273,30,,0.8,0.7946428571428572,0.7692307692307693,0.8258928571428571,0.600099198148979,0.19742202758789062
HEART,XGB,6,tuned,273,30,"{'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 300}",0.8333333333333334,0.8348214285714286,0.8275862068965517,0.9017857142857143,0.6681531047810609,0.12183038890361786
HEART,XGB,7,default,273,30,,0.8333333333333334,0.8348214285714286,0.8275862068965517,0.9508928571428572,0.6681531047810609,0.10794099420309067
HEART,XGB,7,tuned,273,30,"{'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 100}",0.8666666666666667,0.8705357142857143,0.8666666666666667,0.9464285714285714,0.7410714285714286,0.09302917867898941
HEART,XGB,8,default,273,30,,0.7666666666666667,0.7678571428571428,0.7586206896551724,0.8348214285714286,0.5345224838248488,0.2078534960746765
HEART,XGB,8,tuned,273,30,"{'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 300}",0.7333333333333333,0.7321428571428572,0.7142857142857143,0.84375,0.4642857142857143,0.16302374005317688
HEART,XGB,9,default,273,30,,0.8333333333333334,0.8303571428571428,0.8148148148148148,0.8392857142857142,0.6651836553993731,0.166457399725914
HEART,XGB,9,tuned,273,30,"{'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 100}",0.8333333333333334,0.8303571428571428,0.8148148148148148,0.8616071428571428,0.6651836553993731,0.1408526748418808
HEART,SVM,0,default,272,31,,0.967741935483871,0.9642857142857143,0.9629629629629629,1.0,0.936474306633197,0.061949322439612056
HEART,SVM,0,tuned,272,31,"{'clf__C': 1, 'clf__gamma': 0.01}",0.967741935483871,0.9642857142857143,0.9629629629629629,0.9873949579831933,0.936474306633197,0.06437591367578835
HEART,SVM,1,default,272,31,,0.7096774193548387,0.7289915966386555,0.7428571428571429,0.865546218487395,0.48756034091629497,0.18592938395135478
HEART,SVM,1,tuned,272,31,"{'clf__C': 10, 'clf__gamma': 0.01}",0.7419354838709677,0.7584033613445378,0.7647058823529411,0.8865546218487395,0.5375331993584477,0.1491671004430605
HEART,SVM,2,default,272,31,,0.8064516129032258,0.8109243697478992,0.8,0.8151260504201681,0.619252282479235,0.16714942584962397
HEART,SVM,2,tuned,272,31,"{'clf__C': 0.1, 'clf__gamma': 0.01}",0.7741935483870968,0.7815126050420168,0.7741935483870968,0.8445378151260504,0.5630252100840336,0.1721253985827437
HEART,SVM,3,default,273,30,,0.7333333333333333,0.7285067873303167,0.6923076923076923,0.8416289592760181,0.45701357466063347,0.16497104867280046
HEART,SVM,3,tuned,273,30,"{'clf__C': 0.1, 'clf__gamma': 0.01}",0.8,0.7963800904977376,0.7692307692307693,0.8778280542986425,0.5927601809954751,0.13634527406091518
HEART,SVM,4,default,273,30,,0.8,0.7946428571428572,0.7692307692307693,0.9151785714285714,0.600099198148979,0.13302204786935948
HEART,SVM,4,tuned,273,30,"{'clf__C': 0.1, 'clf__gamma': 0.01}",0.8,0.7946428571428572,0.7692307692307693,0.9375,0.600099198148979,0.11342249803919476
HEART,SVM,5,default,273,30,,0.8333333333333334,0.8214285714285714,0.782608695652174,0.9107142857142857,0.6998542122237652,0.13094991393701605
